# http://finance.yahoo.com/quote/GOOG/history?ltr=1
# Open,High,Low,Volume,Close
828.6,833.4,828.3,1247700,831.6
823.0,828.0,821.6,1597800,828.0
819.9,824.4,818.9,1281700,824.1
819.359985,823,818.469971,1304000,818.97998
819,823,816,1053600,820.450012
816,820.958984,815.48999,1198100,819.23999
811.700012,815.25,809.780029,1129100,813.669983
809.51001,810.659973,804.539978,989700,809.559998
807,811.840027,803.190002,1155300,808.380005
803.98999,810.5,801.780029,1235200,806.969971
